"date","count"
2017-07-01,84
2017-07-02,14
2017-07-03,67
2017-07-04,65
2017-07-05,18
2017-07-06,96
2017-07-07,77
2017-07-08,32
2017-07-09,26
2017-07-10,54
2017-07-11,12
2017-07-12,64
2017-07-13,37
2017-07-14,16
2017-07-15,83
2017-07-16,45
2017-07-17,4
2017-07-18,80
2017-07-19,85
2017-07-20,33
2017-07-21,61
2017-07-22,87
2017-07-23,69
2017-07-24,29
2017-07-25,81
2017-07-26,52
2017-07-27,43
2017-07-28,91
2017-07-29,77
2017-07-30,95
2017-07-31,48
2017-08-01,21
2017-08-02,19
2017-08-03,98
2017-08-04,41
2017-08-05,8
2017-08-06,24
2017-08-07,96
2017-08-08,32
2017-08-09,86
2017-08-10,12
2017-08-11,90
2017-08-12,32
2017-08-13,15
2017-08-14,67
2017-08-15,27
2017-08-16,98
2017-08-17,14
2017-08-18,3
2017-08-19,65
2017-08-20,62
2017-08-21,0
2017-08-22,46
2017-08-23,77
2017-08-24,34
2017-08-25,42
2017-08-26,78
2017-08-27,5
2017-08-28,93
2017-08-29,45
2017-08-30,65
2017-08-31,10
2017-09-01,74
2017-09-02,17
2017-09-03,30
2017-09-04,16
2017-09-05,42
2017-09-06,2
2017-09-07,77
2017-09-08,26
2017-09-09,45
2017-09-10,1
2017-09-11,67
2017-09-12,91
2017-09-13,72
2017-09-14,14
2017-09-15,31
2017-09-16,26
2017-09-17,33
2017-09-18,30
2017-09-19,59
2017-09-20,88
2017-09-21,61
2017-09-22,76
2017-09-23,15
2017-09-24,26
2017-09-25,37
2017-09-26,81
2017-09-27,75
2017-09-28,68
2017-09-29,56
2017-09-30,27
2017-10-01,76
2017-10-02,73
2017-10-03,51
2017-10-04,83
2017-10-05,74
2017-10-06,56
2017-10-07,95
2017-10-08,74
2017-10-09,44
2017-10-10,83
2017-10-11,76
2017-10-12,84
2017-10-13,7
2017-10-14,18
2017-10-15,10
2017-10-16,2
2017-10-17,74
2017-10-18,8
2017-10-19,93
2017-10-20,64
2017-10-21,93
2017-10-22,6
2017-10-23,78
2017-10-24,35
2017-10-25,54
2017-10-26,18
2017-10-27,87
2017-10-28,55
2017-10-29,94
2017-10-30,27
2017-10-31,42
2017-11-01,85
2017-11-02,37
2017-11-03,8
2017-11-04,74
2017-11-05,48
2017-11-06,78
2017-11-07,59
2017-11-08,74
2017-11-09,71
2017-11-10,88
2017-11-11,5
2017-11-12,27
2017-11-13,60
2017-11-14,52
2017-11-15,24
2017-11-16,14
2017-11-17,51
2017-11-18,43
2017-11-19,72
2017-11-20,14
2017-11-21,97
2017-11-22,68
2017-11-23,100
2017-11-24,90
2017-11-25,59
2017-11-26,37
2017-11-27,70
2017-11-28,87
2017-11-29,59
2017-11-30,7
2017-12-01,65
2017-12-02,60
2017-12-03,61
2017-12-04,1
2017-12-05,9
2017-12-06,49
2017-12-07,25
2017-12-08,45
2017-12-09,14
2017-12-10,10
2017-12-11,38
2017-12-12,53
2017-12-13,56
2017-12-14,39
2017-12-15,57
2017-12-16,3
2017-12-17,15
2017-12-18,57
2017-12-19,83
2017-12-20,8
2017-12-21,17
2017-12-22,76
2017-12-23,57
2017-12-24,2
2017-12-25,26
2017-12-26,66
2017-12-27,97
2017-12-28,1
